country_code,IT.NET.USER.P2,SP.POP.TOTL,IC.REG.PROC,IC.LGL.CRED.XQ,name,SP.URB.TOTL.IN.ZS,NY.GNP.PCAP.CD,IC.WRH.DURS,IC.TAX.TOTL.CP.ZS,IC.ELC.TIME,IC.ISV.DURS,IQ.WEF.PORT.XQ,IQ.WEF.CUST.XQ,BG.GSR.NFSV.GD.ZS,NE.CON.PRVT.PC.KD.ZG,ST.INT.ARVL,IC.BUS.EASE.XQ,NE.CON.PETC.ZS,SH.H2O.SAFE.ZS,SL.GDP.PCAP.EM.KD,IC.REG.DURS,SP.URB.GROW,IC.IMP.DURS,TX.VAL.OTHR.ZS.WT,BX.KLT.DINV.WD.GD.ZS,TX.VAL.TECH.CD,SH.STA.ACSN.UR,SP.POP.1564.TO.ZS,IC.BUS.DISC.XQ,NE.CON.PRVT.KD.ZG,FP.CPI.TOTL.ZG,IC.REG.COST.PC.ZS,IT.CEL.SETS.P2,IC.IMP.COST.CD,IC.EXP.COST.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands,KMeans_labels,DBSCAN_labels,Heirarchical_labels
DK,96.3305,5676002.0,4.0,8.0,Denmark,87.676,58590.0,64.0,24.5,38.0,1.0,5.75960258756365,5.05040136482309,39.0161430493463,1.54709603890156,10267000.0,3.0,47.9310497633745,100.0,87166.90625,3.0,0.773385050005967,5.0,27.448462586408702,0.5661434163688179,9318204877.0,99.6,64.1595524918413,7.0,2.1323776947709097,0.452034153691609,0.2,128.341937604507,745.0,795.0,VeryHigh,H,M,21,M,0.36997872798494436,H,3,True,False,Europe,False,1,1,0
EG,35.9,91508084.0,7.0,2.0,"Egypt, Arab Rep.",43.135,3340.0,179.0,45.0,64.0,2.5,4.32789273870071,3.7988276939264094,13.0703933417384,0.6862283006535961,9628000.0,131.0,82.2399744834966,99.4,36556.5390625,8.0,2.2830173968333303,15.0,14.8671125040101,2.0814529796691104,176345548.0,96.8,61.6194586699029,8.0,2.85373720375823,10.3574896480911,8.4,110.99155439173,790.0,625.0,Low,M,VH,31,M,0.03387678841576445,VL,0,True,False,Africa,False,3,-1,2
FI,92.6513,5482013.0,3.0,7.0,Finland,84.221,46360.0,64.0,37.9,42.0,0.9,6.3613692037987,5.944533875975949,21.8094054310431,1.0595483572841,13053279.411764706,10.0,55.434321011485395,100.0,82024.6328125,14.0,0.535086564267504,7.0,74.5077963423182,8.14183224598091,3632887080.0,99.4,63.1844856787288,6.0,1.43889784894003,-0.2071643707866,1.0,135.499960443849,625.0,615.0,VeryHigh,H,M,8,M,0.14593179549191146,M,2,True,False,Europe,False,1,1,0
PR,79.46876882531001,3474182.0,6.0,10.0,Puerto Rico,93.6,25603.030303030304,165.0,65.8,32.0,2.5,5.4,5.1,27.282444194690342,1.5536051901175425,3246000.0,57.0,56.40002387696422,97.10735294117646,113956.203125,6.0,-1.77072920142838,15.0,34.843722142345264,5.218914292150972,30761610197.38806,99.3,66.6558881071492,7.0,2.68041430859638,1.7160460043323633,1.3,87.09082845976879,1350.0,1300.0,Medium,M,L,24,M,0.690810095729009,H,1,True,True,North America,True,4,2,0
AE,91.2434057753709,9156963.0,6.0,2.0,United Arab Emirates,85.541,43170.0,43.5,15.9,32.0,3.2,6.47299124092085,5.99922177567608,27.282444194690342,-0.759301763726782,13053279.411764706,31.0,48.0810642235606,99.6,93187.28125,8.0,1.09845912171454,7.0,34.843722142345264,2.96409549042215,1555995856.0,98.0,84.92465242024021,10.0,-0.252547226128925,1.7160460043323633,6.2,187.34813818923598,625.0,665.0,High,H,M,144,VH,1.5725737889298013,VH,11,True,False,Asia,False,1,-1,0
MC,93.3633020180933,37731.0,6.489705882352941,5.573529411764706,Monaco,100.0,25603.030303030304,169.30441176470586,40.33676470588235,78.39117647058823,2.350746268656717,4.633316158977333,4.414026663961564,27.282444194690342,1.5536051901175425,329000.0,55.64705882352941,56.40002387696422,100.0,65623.96818273207,15.73970588235294,0.28664722231057,14.383823529411766,34.843722142345264,5.218914292150972,30761610197.38806,100.0,67.67784916750544,6.608823529411764,2.68041430859638,1.7160460043323633,8.280882352941177,88.7787056367432,1283.2205882352941,1184.598529411765,,VL,VL,2,VL,5.300681137526172,VH,0,False,False,Europe,False,4,2,0
JP,93.329411063737,126958472.0,8.0,4.0,Japan,93.498,36680.0,197.0,51.3,97.7,0.6,5.40094223330098,5.0341813333572905,8.22015788205914,-1.0685908134416702,13413000.0,34.0,58.589645232367296,100.0,72523.1796875,10.2,0.375046484797781,11.0,54.27398730379871,-0.00101584510775373,91529336519.0,100.0,60.8024906891831,7.0,-1.20347117611638,0.7863802188890091,7.5,125.053760696262,1021.3,829.3,Medium,H,VH,1214,VH,0.9562181876291013,H,20,True,True,Asia,False,1,-1,0
KW,82.0791147627883,3892115.0,12.0,2.0,Kuwait,98.342,40930.0,216.0,13.0,64.0,4.2,3.97652574155642,3.4955462948135696,26.4618534156616,-1.53420503916233,13053279.411764706,101.0,28.234627105431,99.0,158302.296875,31.0,3.65276650738016,20.0,49.882481548226096,0.252321313899053,5333902.0,100.0,75.7057795054874,4.0,2.83417481290506,3.27170248115385,2.3,231.763194665177,1250.0,1085.0,Low,H,L,101,H,2.5949901274756786,VH,2,True,False,Asia,False,4,-1,0
BG,56.6563,7177991.0,4.0,9.0,Bulgaria,73.94800000000002,7220.0,110.0,27.0,130.0,3.3,3.90517836183174,3.80427816708883,25.667288408657498,1.39790952181222,7311000.0,38.0,60.930601128938996,99.4,40287.21875,18.0,-0.201681158162558,17.0,28.020760666350398,3.62359194741346,1107680340.0,86.8,65.8285064995643,10.0,0.7529801565825379,-0.104872332816556,0.7,129.27171496494802,1365.0,1375.0,Medium,M,M,5,L,0.06965737349071627,L,0,True,False,Europe,False,4,0,4
IN,26.0,1311050527.0,12.9,6.0,India,32.747,1590.0,191.5,60.6,90.1,4.3,4.207172307712121,4.2647240885152105,14.3871630753569,4.9404349903359,7679000.0,130.0,57.9523957633004,94.1,14681.1298828125,29.0,2.3795810403323903,21.1,70.2854092785034,2.13200399202502,13750546786.0,62.6,65.5957625041251,7.0,6.23569955695278,5.87242659466756,13.5,78.8413634784012,1462.0,1332.0,Low,M,VH,85,H,0.006483350431542903,VL,4,True,False,Asia,False,3,-1,2
