country_code,SH.H2O.SAFE.ZS,IC.WRH.DURS,IC.BUS.EASE.XQ,IC.REG.DURS,IQ.WEF.CUST.XQ,IC.REG.COST.PC.ZS,name,IT.CEL.SETS.P2,SH.STA.ACSN.UR,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,IQ.WEF.PORT.XQ,BX.KLT.DINV.WD.GD.ZS,IC.IMP.COST.CD,BG.GSR.NFSV.GD.ZS,NE.CON.PETC.ZS,IC.ELC.TIME,IC.BUS.DISC.XQ,NE.CON.PRVT.PC.KD.ZG,IT.NET.USER.P2,NE.CON.PRVT.KD.ZG,IC.EXP.COST.CD,IC.LGL.CRED.XQ,IC.REG.PROC,IC.IMP.DURS,FP.CPI.TOTL.ZG,SP.URB.GROW,IC.TAX.TOTL.CP.ZS,SP.POP.TOTL,TX.VAL.OTHR.ZS.WT,SP.POP.1564.TO.ZS,SL.GDP.PCAP.EM.KD,NY.GNP.PCAP.CD,IC.ISV.DURS,TX.VAL.TECH.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands
BR,98.1,425.7,116.0,83.0,2.93577572908432,3.8,Brazil,126.592264521349,88.0,85.68700000000003,6430000.0,2.70545754923315,4.23020875522449,2322.8,5.88675439604074,63.374739089875,43.6,5.0,-4.814640630313289,59.079477910505,-3.99726589417649,2322.8,2.0,11.0,17.0,9.02723977356148,1.15192045628754,69.2,207847528.0,62.0177128191917,69.12767901670689,29169.8203125,9850.0,4.0,8848309553.0,Low,M,VH,102,H,0.04907443498678512,L,4,True,False,South America,False
PA,94.7,98.0,69.0,6.0,4.1455748354451,6.3,Panama,174.19431846506401,83.5,66.592,1745000.0,6.2523900092764295,11.049006351240301,1030.0,30.1803356241228,50.8591069017483,35.0,4.0,2.882935845252549,51.20542499486871,4.555044464888099,665.0,7.0,5.0,9.0,0.125526142884625,2.03189780855764,37.2,3929141.0,7.58032622603186,65.2031576367455,43690.140625,12050.0,2.5,457.0,Medium,L,L,5,L,0.12725427771617256,M,0,False,False,North America,False
CR,97.8,118.0,58.0,24.0,3.80135560972842,11.1,Costa Rica,150.662050596432,95.2,76.821,2527000.0,3.1375910841660697,5.88697454356537,1070.0,19.7020033494923,65.0889688218775,45.0,2.0,2.79690456329718,59.762950137168104,3.91461430169515,1020.0,10.0,9.0,14.0,0.796684980293882,2.23689115419704,58.0,4807850.0,48.414056982779705,68.7902908784592,30870.919921875,10210.0,3.0,30761610197.38806,Medium,M,M,11,M,0.22879249560614412,M,0,True,False,North America,False
EG,99.4,179.0,131.0,8.0,3.7988276939264094,8.4,"Egypt, Arab Rep.",110.99155439173,96.8,43.135,9628000.0,4.32789273870071,2.0814529796691104,790.0,13.0703933417384,82.2399744834966,64.0,8.0,0.6862283006535961,35.9,2.85373720375823,625.0,2.0,7.0,15.0,10.3574896480911,2.2830173968333303,45.0,91508084.0,14.8671125040101,61.6194586699029,36556.5390625,3340.0,2.5,176345548.0,Low,M,VH,31,M,0.03387678841576445,VL,0,True,False,Africa,False
LB,99.0,244.0,123.0,15.0,3.04474746241714,34.0,Lebanon,87.06623207425007,80.7,87.792,1355000.0,3.85543440616492,4.97184276358149,1365.0,62.3751540714647,66.6074890081443,75.0,9.0,3.0361738516818195,74.0,7.417651606371419,1080.0,2.0,6.0,30.0,-3.74889199850394,4.30348620222381,30.3,5850743.0,31.1393247114975,67.8712942954425,42497.58984375,7930.0,3.0,38146559.0,Low,L,M,29,M,0.4956635422201932,H,0,True,False,Asia,False
HU,100.0,179.0,42.0,5.0,4.66866318950914,7.3,Hungary,118.91166491581998,97.8,71.227,12140000.0,3.37181916971729,-0.8008901582134209,845.0,31.255063353609295,50.31428542483941,252.0,2.0,2.09107429138493,72.8347,1.81643269322666,885.0,10.0,4.0,19.0,-0.07028247573758299,0.421246651401508,48.4,9844686.0,49.0323979292429,67.6233936744744,56301.359375,12990.0,2.0,11759507186.0,Medium,H,M,14,M,0.14220870020638546,M,0,False,False,Europe,False
KR,97.10735294117646,28.0,4.0,4.0,4.48495185375214,14.5,"Korea, Rep.",118.461917184148,100.0,82.47399999999998,14202000.0,5.23480620384216,0.365926294028936,695.0,15.3469937684602,49.3376423520852,18.0,7.0,1.76500650947003,89.8962557995106,2.15469837530864,670.0,5.0,3.0,7.0,0.7061628760088001,0.520524297978175,33.2,50617045.0,48.123312354468794,72.88038107714209,68415.7578125,27440.0,1.5,133447400828.0,VeryHigh,H,H,955,VH,1.886716223754271,VH,13,True,False,Asia,False
CZ,100.0,247.0,36.0,15.0,4.63284173289011,6.7,Czech Republic,129.21056392003,99.1,72.992,10617000.0,3.60368441648261,1.36324474737331,1215.0,23.3092079388909,47.65625209622561,110.0,2.0,2.53722787623978,81.2986,2.78927117320795,1240.0,7.0,8.0,17.0,0.34478243791717,0.208526089873794,50.4,10551219.0,47.619743204867,66.8821170374875,55939.75,18050.0,2.1,20074338041.0,Medium,H,M,26,M,0.2464170253692962,M,0,True,False,Europe,False
VN,97.6,166.0,90.0,20.0,3.57841460871142,4.9,Vietnam,130.63968578799802,94.4,33.593,7874000.0,3.9138168440308703,6.09506087011688,600.0,13.791366545095,65.198918806443,59.0,7.0,8.16772015948621,52.720000000054995,9.33000373598149,610.0,7.0,10.0,21.0,0.6306121050106379,2.99839908277346,39.4,91703800.0,34.843722142345264,70.1698056432717,8914.3203125,1980.0,5.0,30863791585.0,Medium,M,VH,21,M,0.022899814402456604,VL,0,True,False,Asia,False
BN,97.10735294117646,119.0,84.0,14.0,4.414026663961565,1.2,Brunei Darussalam,108.131115254388,93.0739130434783,77.202,201000.0,4.633316158977334,1.11827355665072,770.0,14.796505782362,15.790712268591099,56.0,4.0,1.5536051901175425,71.2,2.68041430859638,705.0,4.0,7.0,15.0,-0.194426291746023,1.78748243112951,8.7,423188.0,5.38555585476799,72.472281822736,156737.59375,25603.030303030304,2.5,55449872.0,Medium,VL,VL,5,L,1.1815079822679282,VH,0,True,False,Asia,False
